Home,Score,Away
Stoke City,0-0,Arsenal
Liverpool,2-2,Manchester City
Swansea City,3-0,West Ham United
Aston Villa,1-3,Everton
Manchester United,3-2,Fulham
Norwich City,1-1,Queens Park Rangers
Southampton,0-2,Wigan Athletic
Tottenham Hotspur,1-1,West Bromwich Albion
Chelsea,2-0,Newcastle United
Chelsea,4-2,Reading
Everton,1-0,Manchester United
Wigan Athletic,0-2,Chelsea
Manchester City,3-2,Southampton
Arsenal,0-0,Sunderland
Fulham,5-0,Norwich City
Queens Park Rangers,0-5,Swansea City
Reading,1-1,Stoke City
West Bromwich Albion,3-0,Liverpool
West Ham United,1-0,Aston Villa
Newcastle United,2-1,Tottenham Hotspur
Liverpool,0-2,Arsenal
Newcastle United,1-1,Aston Villa
Southampton,2-3,Manchester United
West Ham United,3-0,Fulham
Swansea City,2-2,Sunderland
Tottenham Hotspur,1-1,Norwich City
West Bromwich Albion,2-0,Everton
Wigan Athletic,2-2,Stoke City
Manchester City,3-1,Queens Park Rangers
Arsenal,1-2,Chelsea
Everton,3-1,Southampton
Fulham,1-2,Manchester City
Norwich City,2-5,Liverpool
Reading,2-2,Newcastle United
Stoke City,2-0,Swansea City
Sunderland,1-0,Wigan Athletic
Manchester United,2-3,Tottenham Hotspur
Liverpool,1-2,Manchester United
Newcastle United,1-0,Norwich City
Manchester City,1-1,Arsenal
Tottenham Hotspur,2-1,Queens Park Rangers
Swansea City,0-3,Everton
Chelsea,1-0,Stoke City
Southampton,4-1,Aston Villa
West Bromwich Albion,1-0,Reading
West Ham United,1-1,Sunderland
Wigan Athletic,1-2,Fulham
Everton,2-2,Newcastle United
Reading,1-3,Tottenham Hotspur
Norwich City,0-0,West Ham United
Arsenal,6-1,Southampton
Aston Villa,2-0,Swansea City
Fulham,3-0,West Bromwich Albion
Manchester United,4-0,Wigan Athletic
Queens Park Rangers,0-0,Chelsea
Stoke City,1-1,Manchester City
Sunderland,1-1,Liverpool
Southampton,2-2,Fulham
Liverpool,0-0,Stoke City
Tottenham Hotspur,2-0,Aston Villa
Newcastle United,0-3,Manchester United
Manchester City,3-0,Sunderland
Chelsea,4-1,Norwich City
Swansea City,2-2,Reading
West Bromwich Albion,3-2,Queens Park Rangers
Wigan Athletic,2-2,Everton
West Ham United,1-3,Arsenal
Queens Park Rangers,1-2,West Ham United
Aston Villa,1-1,West Bromwich Albion
Everton,2-2,Liverpool
Newcastle United,2-1,West Bromwich Albion
Southampton,1-2,Tottenham Hotspur
Chelsea,2-3,Manchester United
Aston Villa,1-1,Norwich City
Arsenal,1-0,Queens Park Rangers
Reading,3-3,Fulham
Stoke City,0-0,Sunderland
Wigan Athletic,2-1,West Ham United
Manchester City,1-0,Swansea City
Sunderland,1-1,Newcastle United
Queens Park Rangers,1-1,Everton
Tottenham Hotspur,2-4,Chelsea
Fulham,1-0,Aston Villa
Liverpool,1-0,Reading
Manchester United,4-2,Stoke City
Swansea City,2-1,Wigan Athletic
West Bromwich Albion,1-2,Manchester City
West Ham United,4-1,Southampton
Norwich City,1-0,Arsenal
Queens Park Rangers,1-1,Reading
Liverpool,1-1,Newcastle United
Manchester United,2-1,Arsenal
Fulham,2-2,Everton
Norwich City,1-0,Stoke City
Sunderland,0-1,Aston Villa
Swansea City,1-1,Chelsea
Tottenham Hotspur,0-1,Wigan Athletic
West Ham United,0-0,Manchester City
West Ham United,1-1,Stoke City
Fulham,1-3,Sunderland
Arsenal,5-2,Tottenham Hotspur
Liverpool,3-0,Wigan Athletic
Manchester City,5-0,Aston Villa
Newcastle United,1-2,Swansea City
Queens Park Rangers,1-3,Southampton
Reading,2-1,Everton
West Bromwich Albion,2-1,Chelsea
Norwich City,1-0,Manchester United
Manchester City,2-1,Tottenham Hotspur
Newcastle United,0-1,West Ham United
Chelsea,1-1,Liverpool
Arsenal,3-3,Fulham
Everton,2-1,Sunderland
Reading,0-0,Norwich City
Southampton,1-1,Swansea City
Stoke City,1-0,Queens Park Rangers
Wigan Athletic,1-2,West Bromwich Albion
Aston Villa,2-3,Manchester United
West Bromwich Albion,2-0,Southampton
Newcastle United,3-0,Wigan Athletic
Norwich City,2-1,Sunderland
West Ham United,3-1,Chelsea
Arsenal,0-2,Swansea City
Fulham,0-3,Tottenham Hotspur
Liverpool,1-0,Southampton
Manchester City,1-1,Everton
Queens Park Rangers,1-1,Aston Villa
West Bromwich Albion,0-1,Stoke City
Reading,3-4,Manchester United
Chelsea,0-0,Fulham
Everton,1-1,Arsenal
Southampton,1-1,Norwich City
Stoke City,2-1,Newcastle United
Swansea City,3-1,West Bromwich Albion
Tottenham Hotspur,2-1,Liverpool
Manchester United,1-0,West Ham United
Wigan Athletic,0-2,Manchester City
Sunderland,0-0,Queens Park Rangers
Aston Villa,1-0,Reading
Swansea City,0-0,Liverpool
Southampton,2-0,Newcastle United
Chelsea,0-0,Manchester City
Tottenham Hotspur,3-1,West Ham United
Sunderland,2-4,West Bromwich Albion
Everton,1-1,Norwich City
Manchester United,3-1,Queens Park Rangers
Stoke City,1-0,Fulham
Wigan Athletic,3-2,Reading
Aston Villa,0-0,Arsenal
Manchester City,2-3,Manchester United
Everton,2-1,Tottenham Hotspur
West Ham United,2-3,Liverpool
Arsenal,2-0,West Bromwich Albion
Aston Villa,0-0,Stoke City
Southampton,1-0,Reading
Sunderland,1-3,Chelsea
Swansea City,3-4,Norwich City
Wigan Athletic,2-2,Queens Park Rangers
Swansea City,1-1,Manchester United
Chelsea,8-0,Aston Villa
Wigan Athletic,0-1,Arsenal
Manchester City,1-0,Reading
Newcastle United,1-0,Queens Park Rangers
Southampton,0-1,Sunderland
Tottenham Hotspur,0-0,Stoke City
West Bromwich Albion,2-1,Norwich City
West Ham United,1-2,Everton
Liverpool,4-0,Fulham
Reading,2-5,Arsenal
Tottenham Hotspur,1-0,Swansea City
West Bromwich Albion,0-0,West Ham United
Newcastle United,1-3,Manchester City
Liverpool,1-3,Aston Villa
Manchester United,3-1,Sunderland
Norwich City,2-1,Wigan Athletic
Queens Park Rangers,2-1,Fulham
Stoke City,1-1,Everton
Sunderland,3-0,Reading
Fulham,2-1,Newcastle United
Everton,1-2,Chelsea
Queens Park Rangers,0-3,Liverpool
Sunderland,1-2,Tottenham Hotspur
Aston Villa,0-3,Wigan Athletic
Fulham,1-2,Swansea City
Manchester United,2-0,West Bromwich Albion
Norwich City,3-4,Manchester City
Reading,1-0,West Ham United
Stoke City,3-3,Southampton
Arsenal,7-3,Newcastle United
Everton,2-1,Wigan Athletic
Fulham,1-1,Southampton
Manchester United,4-3,Newcastle United
Norwich City,0-1,Chelsea
Queens Park Rangers,1-2,West Bromwich Albion
Reading,0-0,Swansea City
Sunderland,1-0,Manchester City
Aston Villa,0-4,Tottenham Hotspur
Stoke City,3-1,Liverpool
Manchester United,2-1,Liverpool
Arsenal,0-2,Manchester City
Queens Park Rangers,0-0,Tottenham Hotspur
Aston Villa,0-1,Southampton
Everton,0-0,Swansea City
Fulham,1-1,Wigan Athletic
Norwich City,0-0,Newcastle United
Reading,3-2,West Bromwich Albion
Stoke City,0-4,Chelsea
Sunderland,3-0,West Ham United
Chelsea,0-1,Queens Park Rangers
Liverpool,3-0,Sunderland
Newcastle United,1-2,Everton
West Bromwich Albion,1-2,Fulham
Manchester City,3-0,Stoke City
Swansea City,2-2,Aston Villa
Tottenham Hotspur,3-1,Reading
West Ham United,2-1,Norwich City
Wigan Athletic,0-4,Manchester United
Southampton,1-1,Arsenal
Aston Villa,1-2,Newcastle United
Queens Park Rangers,0-0,Manchester City
Stoke City,2-2,Wigan Athletic
Sunderland,0-0,Swansea City
Arsenal,5-1,West Ham United
Southampton,0-0,Everton
Chelsea,2-1,Arsenal
Tottenham Hotspur,1-1,Manchester United
Liverpool,5-0,Norwich City
Manchester City,2-0,Fulham
Newcastle United,1-2,Reading
Swansea City,3-1,Stoke City
West Ham United,1-1,Queens Park Rangers
Wigan Athletic,2-3,Sunderland
West Bromwich Albion,2-2,Aston Villa
Chelsea,2-2,Southampton
West Bromwich Albion,0-1,Tottenham Hotspur
Manchester City,2-2,Liverpool
Queens Park Rangers,0-0,Norwich City
Arsenal,1-0,Stoke City
Everton,3-3,Aston Villa
Newcastle United,3-2,Chelsea
Reading,2-1,Sunderland
West Ham United,1-0,Swansea City
Wigan Athletic,2-2,Southampton
Fulham,0-1,Manchester United
Arsenal,2-2,Liverpool
Everton,2-1,West Bromwich Albion
Norwich City,1-1,Tottenham Hotspur
Fulham,3-1,West Ham United
Manchester United,2-1,Southampton
Reading,2-2,Chelsea
Liverpool,5-0,Swansea City
Liverpool,0-2,West Bromwich Albion
Aston Villa,2-1,West Ham United
Manchester United,2-0,Everton
Tottenham Hotspur,2-1,Newcastle United
Chelsea,4-1,Wigan Athletic
Norwich City,0-0,Fulham
Stoke City,2-1,Reading
Sunderland,0-1,Arsenal
Swansea City,4-1,Queens Park Rangers
Southampton,3-1,Manchester City
Aston Villa,0-1,Manchester City
Tottenham Hotspur,2-1,Arsenal
Chelsea,1-0,West Bromwich Albion
Everton,3-1,Reading
Manchester United,4-0,Norwich City
Southampton,1-2,Queens Park Rangers
Stoke City,0-1,West Ham United
Sunderland,2-2,Fulham
Swansea City,1-0,Newcastle United
Wigan Athletic,0-4,Liverpool
West Ham United,2-3,Tottenham Hotspur
Manchester City,2-0,Chelsea
Newcastle United,4-2,Southampton
Fulham,1-0,Stoke City
Arsenal,2-1,Aston Villa
Norwich City,2-1,Everton
Queens Park Rangers,0-2,Manchester United
Reading,0-3,Wigan Athletic
West Bromwich Albion,2-1,Sunderland
Newcastle United,2-1,Stoke City
Liverpool,3-2,Tottenham Hotspur
Norwich City,0-0,Southampton
Queens Park Rangers,3-1,Sunderland
Reading,1-2,Aston Villa
West Bromwich Albion,2-1,Swansea City
Sunderland,1-1,Norwich City
Tottenham Hotspur,0-1,Fulham
Chelsea,2-0,West Ham United
Wigan Athletic,2-1,Newcastle United
Everton,2-0,Manchester City
Aston Villa,3-2,Queens Park Rangers
Southampton,3-1,Liverpool
Stoke City,0-0,West Bromwich Albion
Swansea City,0-2,Arsenal
Manchester United,1-0,Reading
Fulham,3-2,Queens Park Rangers
Aston Villa,1-2,Liverpool
Sunderland,0-1,Manchester United
Arsenal,4-1,Reading
Manchester City,4-0,Newcastle United
Southampton,2-1,Chelsea
Swansea City,1-2,Tottenham Hotspur
West Ham United,3-1,West Bromwich Albion
Wigan Athletic,1-0,Norwich City
Everton,1-0,Stoke City
Arsenal,0-0,Everton
Newcastle United,0-3,Sunderland
Stoke City,0-2,Manchester United
Arsenal,3-1,Norwich City
Aston Villa,1-1,Fulham
Everton,2-0,Queens Park Rangers
Reading,0-0,Liverpool
Southampton,1-1,West Ham United
Manchester United,1-2,Manchester City
Liverpool,0-0,West Ham United
Tottenham Hotspur,2-2,Everton
Chelsea,2-1,Sunderland
Newcastle United,1-0,Fulham
Queens Park Rangers,1-1,Wigan Athletic
Reading,0-2,Southampton
Norwich City,2-2,Swansea City
Stoke City,1-3,Aston Villa
West Bromwich Albion,1-2,Arsenal
Aston Villa,6-1,Sunderland
Reading,0-0,Queens Park Rangers
Chelsea,2-0,Swansea City
Arsenal,1-1,Manchester United
Manchester City,2-1,West Ham United
Everton,1-0,Fulham
Southampton,0-3,West Bromwich Albion
Stoke City,1-0,Norwich City
Wigan Athletic,2-2,Tottenham Hotspur
Newcastle United,0-6,Liverpool
Manchester United,3-0,Aston Villa
Tottenham Hotspur,3-1,Manchester City
Liverpool,2-2,Chelsea
Fulham,0-1,Arsenal
Norwich City,2-1,Reading
Queens Park Rangers,0-2,Stoke City
Sunderland,1-0,Everton
Swansea City,0-0,Southampton
West Bromwich Albion,1-1,Newcastle United
West Ham United,2-0,Wigan Athletic
Manchester City,1-0,Wigan Athletic
West Ham United,2-2,Manchester United
Fulham,0-3,Chelsea
Fulham,2-4,Reading
Norwich City,1-2,Aston Villa
Swansea City,0-0,Manchester City
Tottenham Hotspur,1-0,Southampton
West Bromwich Albion,2-3,Wigan Athletic
West Ham United,0-0,Newcastle United
Queens Park Rangers,0-1,Arsenal
Chelsea,2-1,Everton
Liverpool,1-0,Queens Park Rangers
Manchester City,2-3,Norwich City
Newcastle United,0-1,Arsenal
Southampton,1-1,Stoke City
Swansea City,0-3,Fulham
Tottenham Hotspur,1-0,Sunderland
West Bromwich Albion,5-5,Manchester United
West Ham United,4-2,Reading
Wigan Athletic,2-2,Aston Villa
Arsenal,4-1,Wigan Athletic
Reading,0-2,Manchester City
Stoke City,1-2,Tottenham Hotspur
Everton,2-0,West Ham United
Fulham,1-3,Liverpool
Norwich City,4-0,West Bromwich Albion
Queens Park Rangers,1-2,Newcastle United
Sunderland,1-1,Southampton
Manchester United,2-1,Swansea City
Aston Villa,1-2,Chelsea
Chelsea,2-2,Tottenham Hotspur
Manchester City,1-0,West Bromwich Albion
Wigan Athletic,2-3,Swansea City
Sunderland,1-1,Stoke City
Liverpool,0-0,Everton
Manchester United,0-1,Chelsea
Manchester City,4-0,Newcastle United
Crystal Palace,0-1,Tottenham Hotspur
Chelsea,2-0,Hull City
Liverpool,1-0,Stoke City
Arsenal,1-3,Aston Villa
Norwich City,2-2,Everton
Sunderland,0-1,Fulham
West Bromwich Albion,0-1,Southampton
West Ham United,2-0,Cardiff City
Swansea City,1-4,Manchester United
Liverpool,1-0,Manchester United
West Bromwich Albion,0-2,Swansea City
Arsenal,1-0,Tottenham Hotspur
Manchester City,2-0,Hull City
Cardiff City,0-0,Everton
Newcastle United,1-0,Fulham
Norwich City,1-0,Southampton
West Ham United,0-1,Stoke City
Crystal Palace,3-1,Sunderland
Manchester United,0-0,Chelsea
Cardiff City,3-2,Manchester City
Tottenham Hotspur,1-0,Swansea City
Fulham,1-3,Arsenal
Everton,0-0,West Bromwich Albion
Hull City,1-0,Norwich City
Newcastle United,0-0,West Ham United
Southampton,1-1,Sunderland
Stoke City,2-1,Crystal Palace
Aston Villa,0-1,Liverpool
Chelsea,2-1,Aston Villa
Arsenal,3-1,Stoke City
Crystal Palace,0-2,Swansea City
Cardiff City,0-1,Tottenham Hotspur
Manchester City,4-1,Manchester United
Norwich City,0-1,Aston Villa
Liverpool,0-1,Southampton
Newcastle United,2-3,Hull City
West Bromwich Albion,3-0,Sunderland
West Ham United,2-3,Everton
Chelsea,2-0,Fulham
Swansea City,2-2,Liverpool
Southampton,0-0,West Ham United
Manchester United,2-0,Crystal Palace
Aston Villa,1-2,Newcastle United
Fulham,1-1,West Bromwich Albion
Hull City,1-1,Cardiff City
Stoke City,0-0,Manchester City
Sunderland,1-3,Arsenal
Tottenham Hotspur,2-0,Norwich City
Everton,1-0,Chelsea
Stoke City,0-1,Norwich City
Sunderland,1-3,Liverpool
Tottenham Hotspur,1-1,Chelsea
Aston Villa,3-2,Manchester City
Fulham,1-2,Cardiff City
Hull City,1-0,West Ham United
Manchester United,1-2,West Bromwich Albion
Southampton,2-0,Crystal Palace
Swansea City,1-2,Arsenal
Norwich City,1-3,Chelsea
Southampton,2-0,Swansea City
Tottenham Hotspur,0-3,West Ham United
West Bromwich Albion,1-1,Arsenal
Manchester City,3-1,Everton
Cardiff City,1-2,Newcastle United
Fulham,1-0,Stoke City
Hull City,0-0,Aston Villa
Liverpool,3-1,Crystal Palace
Sunderland,1-2,Manchester United
Everton,3-2,Newcastle United
Sunderland,2-1,Newcastle United
Chelsea,2-1,Manchester City
Swansea City,0-0,West Ham United
Tottenham Hotspur,1-0,Hull City
Crystal Palace,0-2,Arsenal
Aston Villa,0-2,Everton
Liverpool,4-1,West Bromwich Albion
Manchester United,3-2,Stoke City
Norwich City,0-0,Cardiff City
Southampton,2-0,Fulham
Crystal Palace,1-4,Fulham
Aston Villa,0-2,Tottenham Hotspur
Newcastle United,2-2,Liverpool
Arsenal,4-1,Norwich City
Chelsea,4-1,Cardiff City
Everton,2-1,Hull City
Manchester United,1-1,Southampton
Stoke City,0-0,West Bromwich Albion
Swansea City,4-0,Sunderland
West Ham United,1-3,Manchester City
Everton,0-0,Tottenham Hotspur
Cardiff City,1-0,Swansea City
Newcastle United,2-0,Chelsea
Fulham,1-3,Manchester United
Hull City,1-0,Sunderland
Manchester City,7-0,Norwich City
Stoke City,1-1,Southampton
West Bromwich Albion,2-0,Crystal Palace
West Ham United,0-0,Aston Villa
Arsenal,2-0,Liverpool
Tottenham Hotspur,0-1,Newcastle United
Sunderland,1-0,Manchester City
Manchester United,1-0,Arsenal
Swansea City,3-3,Stoke City
Aston Villa,2-0,Cardiff City
Chelsea,2-2,West Bromwich Albion
Crystal Palace,0-0,Everton
Liverpool,4-0,Fulham
Southampton,4-1,Hull City
Norwich City,3-1,West Ham United
Arsenal,2-0,Hull City
Liverpool,5-1,Norwich City
Manchester United,0-1,Everton
Southampton,2-3,Aston Villa
Stoke City,0-0,Cardiff City
Sunderland,3-4,Chelsea
Swansea City,3-0,Newcastle United
Fulham,1-2,Tottenham Hotspur
West Bromwich Albion,2-3,Manchester City
Crystal Palace,1-0,West Ham United
Tottenham Hotspur,2-2,Manchester United
Hull City,3-1,Liverpool
Chelsea,3-1,Southampton
Manchester City,3-0,Swansea City
Aston Villa,0-0,Sunderland
Cardiff City,0-3,Arsenal
Everton,4-0,Stoke City
Norwich City,1-0,Crystal Palace
West Ham United,3-0,Fulham
Newcastle United,2-1,West Bromwich Albion
West Bromwich Albion,2-2,Aston Villa
Manchester City,6-0,Tottenham Hotspur
Cardiff City,2-2,Manchester United
Everton,3-3,Liverpool
Arsenal,2-0,Southampton
Fulham,1-2,Swansea City
Hull City,0-1,Crystal Palace
Newcastle United,2-1,Norwich City
Stoke City,2-0,Sunderland
West Ham United,0-3,Chelsea
Swansea City,1-1,Hull City
Fulham,2-0,Aston Villa
Arsenal,1-1,Everton
Manchester United,0-1,Newcastle United
Crystal Palace,2-0,Cardiff City
Liverpool,4-1,West Ham United
Southampton,1-1,Manchester City
Stoke City,3-2,Chelsea
West Bromwich Albion,0-2,Norwich City
Sunderland,1-2,Tottenham Hotspur
Arsenal,0-0,Chelsea
Southampton,2-3,Tottenham Hotspur
Swansea City,1-2,Everton
Liverpool,3-1,Cardiff City
Crystal Palace,0-3,Newcastle United
Fulham,2-4,Manchester City
Manchester United,3-1,West Ham United
Stoke City,2-1,Aston Villa
Sunderland,0-0,Norwich City
West Bromwich Albion,1-1,Hull City
Aston Villa,0-3,Manchester United
Norwich City,1-1,Swansea City
Tottenham Hotspur,0-5,Liverpool
Manchester City,6-3,Arsenal
Cardiff City,1-0,West Bromwich Albion
Chelsea,2-1,Crystal Palace
Everton,4-1,Fulham
Newcastle United,1-1,Southampton
West Ham United,0-0,Sunderland
Hull City,0-0,Stoke City
Everton,2-1,Southampton
Newcastle United,0-1,Arsenal
Chelsea,2-1,Liverpool
Tottenham Hotspur,3-0,Stoke City
West Ham United,3-3,West Bromwich Albion
Aston Villa,1-1,Swansea City
Hull City,6-0,Fulham
Manchester City,1-0,Crystal Palace
Norwich City,0-1,Manchester United
Cardiff City,2-2,Sunderland
Hull City,2-3,Manchester United
Aston Villa,0-1,Crystal Palace
Cardiff City,0-3,Southampton
Chelsea,1-0,Swansea City
Everton,0-1,Sunderland
Newcastle United,5-1,Stoke City
Norwich City,1-2,Fulham
Tottenham Hotspur,1-1,West Bromwich Albion
West Ham United,1-3,Arsenal
Manchester City,2-1,Liverpool
Aston Villa,1-2,Arsenal
Newcastle United,0-2,Manchester City
Stoke City,3-5,Liverpool
Hull City,0-2,Chelsea
Cardiff City,0-2,West Ham United
Everton,2-0,Norwich City
Fulham,1-4,Sunderland
Southampton,1-0,West Bromwich Albion
Tottenham Hotspur,2-0,Crystal Palace
Manchester United,2-0,Swansea City
Swansea City,2-3,Manchester City
Arsenal,2-0,Cardiff City
Crystal Palace,1-1,Norwich City
Fulham,2-1,West Ham United
Liverpool,2-0,Hull City
Southampton,0-3,Chelsea
Stoke City,1-1,Everton
Sunderland,0-1,Aston Villa
West Bromwich Albion,1-0,Newcastle United
Manchester United,1-2,Tottenham Hotspur
Aston Villa,4-3,West Bromwich Albion
Chelsea,0-0,West Ham United
Sunderland,1-0,Stoke City
Tottenham Hotspur,1-5,Manchester City
Manchester United,2-0,Cardiff City
Norwich City,0-0,Newcastle United
Southampton,2-2,Arsenal
Swansea City,2-0,Fulham
Crystal Palace,1-0,Hull City
Liverpool,4-0,Everton
West Bromwich Albion,1-1,Everton
Swansea City,1-3,Tottenham Hotspur
Chelsea,3-1,Manchester United
Sunderland,2-2,Southampton
Arsenal,2-0,Fulham
Crystal Palace,1-0,Stoke City
Manchester City,4-2,Cardiff City
Norwich City,1-0,Hull City
West Ham United,1-3,Newcastle United
Liverpool,2-2,Aston Villa
Manchester City,0-1,Chelsea
West Bromwich Albion,1-1,Liverpool
Arsenal,2-0,Crystal Palace
Newcastle United,0-3,Sunderland
West Ham United,2-0,Swansea City
Cardiff City,2-1,Norwich City
Everton,2-1,Aston Villa
Fulham,0-3,Southampton
Hull City,1-1,Tottenham Hotspur
Stoke City,2-1,Manchester United
